Date	Site	Keyword	Market	Location	Device	Google	Google Base Rank	Yahoo	Bing	Google URL	Yahoo URL	Bing URL	Advertiser Competition	Global Monthly Searches	Regional Monthly Searches	CPC	Tags
2016-02-05	STAT	360i conference	US-en		desktop								0	10	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-06	STAT	360i conference	US-en		desktop								0	10	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-07	STAT	360i conference	US-en		desktop								0	10	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-08	STAT	360i conference	US-en		desktop								0	10	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-09	STAT	360i conference	US-en		desktop								0	10	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-10	STAT	360i conference	US-en		desktop								0	10	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-11	STAT	360i conference	US-en		desktop								0	10	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-12	STAT	360i conference	US-en		desktop								0	10	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-13	STAT	360i conference	US-en		desktop								0	10	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-14	STAT	360i conference	US-en		desktop								0	10	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-15	STAT	360i conference	US-en		desktop								0	10	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-01	STAT	360i contact	GB-en		desktop								0	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-02	STAT	360i contact	GB-en		desktop								0	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-03	STAT	360i contact	GB-en		desktop								0	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-04	STAT	360i contact	GB-en		desktop								0	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-05	STAT	360i contact	GB-en		desktop								0	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-06	STAT	360i contact	GB-en		desktop								0	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-07	STAT	360i contact	GB-en		desktop								0	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-08	STAT	360i contact	GB-en		desktop								0	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-09	STAT	360i contact	GB-en		desktop								0	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-10	STAT	360i contact	GB-en		desktop								0	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-11	STAT	360i contact	GB-en		desktop								0	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-12	STAT	360i contact	GB-en		desktop								0	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-13	STAT	360i contact	GB-en		desktop								0	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-14	STAT	360i contact	GB-en		desktop								0	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-15	STAT	360i contact	GB-en		desktop								0	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-01	STAT	360i contact	US-en		desktop								0	20	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-02	STAT	360i contact	US-en		desktop								0	20	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-03	STAT	360i contact	US-en		desktop								0	20	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-04	STAT	360i contact	US-en		desktop								0	20	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-05	STAT	360i contact	US-en		desktop								0	20	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-06	STAT	360i contact	US-en		desktop								0	20	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-07	STAT	360i contact	US-en		desktop								0	20	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-08	STAT	360i contact	US-en		desktop								0	20	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-09	STAT	360i contact	US-en		desktop								0	20	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-10	STAT	360i contact	US-en		desktop								0	20	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-11	STAT	360i contact	US-en		desktop								0	20	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-12	STAT	360i contact	US-en		desktop								0	20	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-13	STAT	360i contact	US-en		desktop								0	20	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-14	STAT	360i contact	US-en		desktop								0	20	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-15	STAT	360i contact	US-en		desktop								0	20	10	0.00	desktop keywords / desktop, us-en / google webmaster tools
2016-02-01	STAT	360i digital	GB-en		desktop								0.13	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-02	STAT	360i digital	GB-en		desktop								0.13	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-03	STAT	360i digital	GB-en		desktop								0.13	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-04	STAT	360i digital	GB-en		desktop								0.13	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-05	STAT	360i digital	GB-en		desktop								0.13	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-06	STAT	360i digital	GB-en		desktop								0.13	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-07	STAT	360i digital	GB-en		desktop								0.13	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-08	STAT	360i digital	GB-en		desktop								0.13	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-09	STAT	360i digital	GB-en		desktop								0.13	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-10	STAT	360i digital	GB-en		desktop								0.13	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-11	STAT	360i digital	GB-en		desktop								0.13	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-12	STAT	360i digital	GB-en		desktop								0.13	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-13	STAT	360i digital	GB-en		desktop								0.13	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-14	STAT	360i digital	GB-en		desktop								0.13	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-15	STAT	360i digital	GB-en		desktop								0.13	20	10	0.00	desktop keywords / desktop, gb-en / google webmaster tools
2016-02-01	STAT	360i digital	US-en		desktop								0.05	20	10	0.00	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-02	STAT	360i digital	US-en		desktop								0.05	20	10	0.00	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-03	STAT	360i digital	US-en		desktop								0.05	20	10	0.00	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-04	STAT	360i digital	US-en		desktop								0.05	20	10	0.00	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-05	STAT	360i digital	US-en		desktop								0.05	20	10	0.00	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-06	STAT	360i digital	US-en		desktop								0.05	20	10	0.00	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-07	STAT	360i digital	US-en		desktop								0.05	20	10	0.00	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-08	STAT	360i digital	US-en		desktop								0.05	20	10	0.00	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-09	STAT	360i digital	US-en		desktop								0.05	20	10	0.00	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-10	STAT	360i digital	US-en		desktop								0.05	20	10	0.00	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-11	STAT	360i digital	US-en		desktop								0.05	20	10	0.00	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-12	STAT	360i digital	US-en		desktop								0.05	20	10	0.00	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-13	STAT	360i digital	US-en		desktop								0.05	20	10	0.00	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-14	STAT	360i digital	US-en		desktop								0.05	20	10	0.00	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-15	STAT	360i digital	US-en		desktop								0.05	20	10	0.00	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-01	STAT	360i digital agency	GB-en		desktop								0.36	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-02	STAT	360i digital agency	GB-en		desktop								0.36	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-03	STAT	360i digital agency	GB-en		desktop								0.36	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-04	STAT	360i digital agency	GB-en		desktop								0.36	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-05	STAT	360i digital agency	GB-en		desktop								0.36	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-06	STAT	360i digital agency	GB-en		desktop								0.36	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-07	STAT	360i digital agency	GB-en		desktop								0.36	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-08	STAT	360i digital agency	GB-en		desktop								0.36	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-09	STAT	360i digital agency	GB-en		desktop								0.36	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-10	STAT	360i digital agency	GB-en		desktop								0.36	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-11	STAT	360i digital agency	GB-en		desktop								0.36	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-12	STAT	360i digital agency	GB-en		desktop								0.36	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-13	STAT	360i digital agency	GB-en		desktop								0.36	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-14	STAT	360i digital agency	GB-en		desktop								0.36	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-15	STAT	360i digital agency	GB-en		desktop								0.36	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-01	STAT	360i digital agency	US-en		desktop								0.19	10	10	39.38	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-02	STAT	360i digital agency	US-en		desktop								0.19	10	10	39.38	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-03	STAT	360i digital agency	US-en		desktop								0.19	10	10	39.38	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-04	STAT	360i digital agency	US-en		desktop								0.19	10	10	39.38	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-05	STAT	360i digital agency	US-en		desktop								0.19	10	10	39.38	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-06	STAT	360i digital agency	US-en		desktop								0.19	10	10	39.38	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-07	STAT	360i digital agency	US-en		desktop								0.19	10	10	39.38	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-08	STAT	360i digital agency	US-en		desktop								0.19	10	10	39.38	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-09	STAT	360i digital agency	US-en		desktop								0.19	10	10	39.38	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-10	STAT	360i digital agency	US-en		desktop								0.19	10	10	39.38	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-11	STAT	360i digital agency	US-en		desktop								0.19	10	10	39.38	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-12	STAT	360i digital agency	US-en		desktop								0.19	10	10	39.38	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-13	STAT	360i digital agency	US-en		desktop								0.19	10	10	39.38	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-14	STAT	360i digital agency	US-en		desktop								0.19	10	10	39.38	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-15	STAT	360i digital agency	US-en		desktop								0.19	10	10	39.38	banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-01	STAT	360i digital marketing	GB-en		desktop								0.59	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-02	STAT	360i digital marketing	GB-en		desktop								0.59	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-03	STAT	360i digital marketing	GB-en		desktop								0.59	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-04	STAT	360i digital marketing	GB-en		desktop								0.59	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-05	STAT	360i digital marketing	GB-en		desktop								0.59	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-06	STAT	360i digital marketing	GB-en		desktop								0.59	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-07	STAT	360i digital marketing	GB-en		desktop								0.59	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-08	STAT	360i digital marketing	GB-en		desktop								0.59	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-09	STAT	360i digital marketing	GB-en		desktop								0.59	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-10	STAT	360i digital marketing	GB-en		desktop								0.59	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-11	STAT	360i digital marketing	GB-en		desktop								0.59	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-12	STAT	360i digital marketing	GB-en		desktop								0.59	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-13	STAT	360i digital marketing	GB-en		desktop								0.59	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-14	STAT	360i digital marketing	GB-en		desktop								0.59	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-15	STAT	360i digital marketing	GB-en		desktop								0.59	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-01	STAT	360i digital marketing	US-en		desktop								0	10	10	0.00	1st page us-en desktop / banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-02	STAT	360i digital marketing	US-en		desktop								0	10	10	0.00	1st page us-en desktop / banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-03	STAT	360i digital marketing	US-en		desktop								0	10	10	0.00	1st page us-en desktop / banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-04	STAT	360i digital marketing	US-en		desktop								0	10	10	0.00	1st page us-en desktop / banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-05	STAT	360i digital marketing	US-en		desktop								0	10	10	0.00	1st page us-en desktop / banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-06	STAT	360i digital marketing	US-en		desktop								0	10	10	0.00	1st page us-en desktop / banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-07	STAT	360i digital marketing	US-en		desktop								0	10	10	0.00	1st page us-en desktop / banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-08	STAT	360i digital marketing	US-en		desktop								0	10	10	0.00	1st page us-en desktop / banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-09	STAT	360i digital marketing	US-en		desktop								0	10	10	0.00	1st page us-en desktop / banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-10	STAT	360i digital marketing	US-en		desktop								0	10	10	0.00	1st page us-en desktop / banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-11	STAT	360i digital marketing	US-en		desktop								0	10	10	0.00	1st page us-en desktop / banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-12	STAT	360i digital marketing	US-en		desktop								0	10	10	0.00	1st page us-en desktop / banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-13	STAT	360i digital marketing	US-en		desktop								0	10	10	0.00	1st page us-en desktop / banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-14	STAT	360i digital marketing	US-en		desktop								0	10	10	0.00	1st page us-en desktop / banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-15	STAT	360i digital marketing	US-en		desktop								0	10	10	0.00	1st page us-en desktop / banana / desktop keywords / desktop, us-en / google webmaster tools
2016-02-01	STAT	360i digital marketing agency	GB-en		desktop								0	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-02	STAT	360i digital marketing agency	GB-en		desktop								0	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-03	STAT	360i digital marketing agency	GB-en		desktop								0	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-04	STAT	360i digital marketing agency	GB-en		desktop								0	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-05	STAT	360i digital marketing agency	GB-en		desktop								0	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-06	STAT	360i digital marketing agency	GB-en		desktop								0	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-07	STAT	360i digital marketing agency	GB-en		desktop								0	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-08	STAT	360i digital marketing agency	GB-en		desktop								0	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-09	STAT	360i digital marketing agency	GB-en		desktop								0	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-10	STAT	360i digital marketing agency	GB-en		desktop								0	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
2016-02-11	STAT	360i digital marketing agency	GB-en		desktop								0	10	10	0.00	banana / desktop keywords / desktop, gb-en / google webmaster tools
